"Brnd_Name","Year","Tot_Spndng"
Amitriptyline HCl,"2025 (Q1-Q3)",41111224
Amjevita(Cf),"2024 (Q1-Q4)",6306008.0
Amjevita(Cf),"2025 (Q1-Q3)",3793440.5
Amjevita(Cf) Autoinjector,"2024 (Q1-Q4)",36873840
Amjevita(Cf) Autoinjector,"2025 (Q1-Q3)",29227912
Amlodipine-Atorvastatin,"2024 (Q1-Q4)",17900828
Amlodipine-Atorvastatin,"2025 (Q1-Q3)",11698118
Amlodipine-Olmesartan,"2024 (Q1-Q4)",16937838
Amlodipine-Olmesartan,"2025 (Q1-Q3)",14816577
Amlodipine-Valsartan,"2024 (Q1-Q4)",22861198
Amlodipine-Valsartan,"2025 (Q1-Q3)",19204288
Amlodipine-Valsartan-HCTZ,"2024 (Q1-Q4)",10590639
Amlodipine-Valsartan-HCTZ,"2025 (Q1-Q3)",11433076
Amlodipine Besylate,"2024 (Q1-Q4)",315689120
Amlodipine Besylate,"2025 (Q1-Q3)",261233568
Amlodipine Besylate-Benazepril,"2024 (Q1-Q4)",30679396
Amlodipine Besylate-Benazepril,"2025 (Q1-Q3)",22345920
Ammonium Lactate,"2024 (Q1-Q4)",27057126
Ammonium Lactate,"2025 (Q1-Q3)",19063910
Amnesteem,"2024 (Q1-Q4)",221466.06
Amnesteem,"2025 (Q1-Q3)",158989.47
Amondys-45,"2024 (Q1-Q4)",14095203
Amondys-45,"2025 (Q1-Q3)",12530951
Amoxapine,"2024 (Q1-Q4)",187385.31
Amoxapine,"2025 (Q1-Q3)",141815.1
Amoxicillin,"2024 (Q1-Q4)",29291994
Amoxicillin,"2025 (Q1-Q3)",24326496
Amoxicillin-Clavulanate Pot ER,"2024 (Q1-Q4)",1576147.9
Amoxicillin-Clavulanate Pot ER,"2025 (Q1-Q3)",1196393.0
Amoxicillin-Clavulanate Potass,"2024 (Q1-Q4)",72278984
Amoxicillin-Clavulanate Potass,"2025 (Q1-Q3)",68247120
Amphetamine Sulfate,"2024 (Q1-Q4)",128093.51
Amphetamine Sulfate,"2025 (Q1-Q3)",87440.13
Amphotericin B,"2024 (Q1-Q4)",21968.87
Amphotericin B,"2025 (Q1-Q3)",36050.17
Amphotericin B Liposome,"2024 (Q1-Q4)",1862374.0
Amphotericin B Liposome,"2025 (Q1-Q3)",1001862.5
Ampicillin-Sulbactam,"2024 (Q1-Q4)",2671772.0
Ampicillin-Sulbactam,"2025 (Q1-Q3)",2002710.4
Ampicillin Sodium,"2024 (Q1-Q4)",4668094.0
Ampicillin Sodium,"2025 (Q1-Q3)",3548826.0
Ampicillin Trihydrate,"2024 (Q1-Q4)",1165026.0
Ampicillin Trihydrate,"2025 (Q1-Q3)",871005.75
Ampyra,"2024 (Q1-Q4)",40260360
Ampyra,"2025 (Q1-Q3)",29168900
Amrix,"2024 (Q1-Q4)",448017.94
Amrix,"2025 (Q1-Q3)",182752.1
Amvuttra,"2024 (Q1-Q4)",140924640
Amvuttra,"2025 (Q1-Q3)",251454400
Amzeeq,"2024 (Q1-Q4)",368485.44
Amzeeq,"2025 (Q1-Q3)",44526.14
Anafranil,"2024 (Q1-Q4)",1037850.2
Anafranil,"2025 (Q1-Q3)",756243.9
Anagrelide HCl,"2024 (Q1-Q4)",4653727.5
Anagrelide HCl,"2025 (Q1-Q3)",3582596.5
Analpram HC,"2024 (Q1-Q4)",11325.77
Analpram HC,"2024 (Q1-Q4)",11325.77
Analpram HC,"2025 (Q1-Q3)",12021.9
Analpram HC,"2025 (Q1-Q3)",12021.9
Anastrozole,"2024 (Q1-Q4)",32072892
Anastrozole,"2025 (Q1-Q3)",26500108
Andembry Autoinjector,"2025 (Q1-Q3)",6470149.5
Androderm,"2024 (Q1-Q4)",18295.47
Androgel,"2024 (Q1-Q4)",3864699.2
Androgel,"2025 (Q1-Q3)",114701.95
Angeliq,"2024 (Q1-Q4)",404048.97
Angeliq,"2025 (Q1-Q3)",300481.97
Anktiva,"2024 (Q1-Q4)",2914925.5
Anktiva,"2025 (Q1-Q3)",9292999.0
